,title,price,address,no_bedrooms
201,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
202,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
203,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
204,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
205,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
206,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
207,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
208,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
209,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
210,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
211,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
212,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
213,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
214,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
215,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
216,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
217,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
218,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
219,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
220,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
221,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
222,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
223,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
224,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
225,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
226,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
227,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
228,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
229,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
230,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
231,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
232,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
233,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
234,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
235,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
236,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
237,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
238,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
239,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
240,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
241,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
242,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
243,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
244,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
245,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
246,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
247,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
248,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
